drift,system,problem,relearn counts,0-50,51-100,101-150,151-200
reoccurring,open_loop,zeno-travel_zeno-travel_p03_hyp-3_10_2_-openloop_per50.0.csv,20,0.7483333333333333,0.8115646258503402,0.6908163265306122,0.8238095238095239
reoccurring,open_loop,driverlog_driverlog_p01_hyp-1_10_1_-openloop_per50.0.csv,20,0.8543333333333334,0.7860544217687074,0.8397959183673469,0.7649659863945578
reoccurring,open_loop,rovers_rovers_p04_hyp-2_10_2_-openloop_per50.0.csv,20,0.9726666666666667,0.8496598639455782,0.9428571428571428,0.851360544217687
reoccurring,open_loop,dwr_dwr_p03_hyp-2_10_2_-openloop_per50.0.csv,20,0.7526190476190476,0.8547133138969873,0.7232750242954324,0.8717201166180758
reoccurring,open_loop,easy-ipc-grid_easy-ipc-grid_p10-5-5_hyp-1_10_1_-openloop_per50.0.csv,20,0.848,0.8224489795918367,0.813265306122449,0.8147959183673469
reoccurring,open_loop,sokoban_sokoban_p04_hyp-3_10_1_-openloop_per50.0.csv,20,0.9026666666666667,0.8047619047619048,0.8340136054421768,0.8017006802721088
reoccurring,open_loop,ferry_ferry_p03_hyp-4_10_2_-openloop_per50.0.csv,20,0.6950000000000001,0.6585034013605442,0.6789115646258503,0.6687074829931973
reoccurring,open_loop,logistics_logistics_p07_hyp-3_10_3_-openloop_per50.0.csv,20,0.9495454545454546,0.9110235003092146,0.8974953617810761,0.9250154607297465
reoccurring,open_loop,easy-ipc-grid_easy-ipc-grid-aaai_p5-10-10_hyp-2_10_0_-openloop_per50.0.csv,20,0.7312222222222222,0.638095238095238,0.7251700680272108,0.6437641723356009
reoccurring,open_loop,easy-ipc-grid_easy-ipc-grid_p5-5-5_hyp-1_10_1_-openloop_per50.0.csv,20,0.743,0.6607142857142857,0.6841836734693878,0.6479591836734694
reoccurring,open_loop,logistics_logistics_p01_hyp-2_10_2_-openloop_per50.0.csv,20,0.9155555555555556,0.9121315192743764,0.9157596371882086,0.8741496598639455
reoccurring,open_loop,sokoban_sokoban_p05_hyp-4_10_2_-openloop_per50.0.csv,20,0.7833333333333333,0.8537414965986395,0.8200680272108843,0.8687074829931973
reoccurring,open_loop,miconic_miconic_p03_hyp-3_10_2_-openloop_per50.0.csv,20,0.623,0.6880952380952381,0.6445578231292517,0.7258503401360544
reoccurring,open_loop,rovers_rovers_p06_hyp-4_10_1_-openloop_per50.0.csv,20,0.9,0.8370748299319728,0.817687074829932,0.8370748299319728
reoccurring,open_loop,easy-ipc-grid_easy-ipc-grid_p07_hyp-3_10_3_-openloop_per50.0.csv,20,0.6021111111111112,0.8531746031746031,0.5820861678004535,0.8511337868480725
reoccurring,open_loop,ferry_ferry_p06_hyp-3_10_1_-openloop_per50.0.csv,20,0.7060714285714286,0.813228862973761,0.7204810495626822,0.7920918367346939
reoccurring,open_loop,blocks-world_block-words_p05_-openloop_per50.0.csv,20,0.6050263157894736,0.4900912996777658,0.5892857142857143,0.5022824919441461
reoccurring,open_loop,ferry_ferry_p04_hyp-2_10_2_-openloop_per50.0.csv,20,0.8355357142857143,0.7895408163265306,0.8254373177842566,0.7966472303206997
reoccurring,open_loop,dwr_dwr_p02_hyp-2_10_3_-openloop_per50.0.csv,20,0.6201785714285715,0.6663629737609329,0.6244533527696793,0.6259110787172012
reoccurring,no_relearn,logistics_logistics_p05_hyp-3_10_1_-no-relearn_per50.0.csv,0,0.9391111111111111,0.819047619047619,0.9361678004535148,0.8044217687074829
reoccurring,no_relearn,rovers_rovers_p02_hyp-2_10_1_-no-relearn_per50.0.csv,0,0.933,0.7554421768707483,0.9231292517006803,0.7857142857142857
reoccurring,no_relearn,blocks-world_block-words_p01_-no-relearn_per50.0.csv,0,0.6600952380952381,0.49817784256559766,0.6578717201166181,0.499757045675413
reoccurring,no_relearn,satellite_satellite_p03_hyp-3_10_3_-no-relearn_per50.0.csv,0,0.5226666666666667,0.5027210884353742,0.535374149659864,0.527891156462585
reoccurring,no_relearn,easy-ipc-grid_easy-ipc-grid_p05_hyp-1_10_2_-no-relearn_per50.0.csv,0,0.7605555555555555,0.7701814058956916,0.7319727891156462,0.7607709750566893
